datetime,Daily_peak_wind,SustainedWindSpeed,airport
2006-06-24,21.0,17.0,montrose
2006-06-25,26.0,22.0,montrose
2006-06-26,32.0,24.0,montrose
2006-06-27,29.0,22.0,montrose
2006-06-28,37.0,28.0,montrose
2006-06-29,24.0,18.0,montrose
2006-07-01,39.0,33.0,montrose
2006-07-02,32.0,26.0,montrose
2006-07-03,31.0,22.0,montrose
2006-07-04,30.0,26.0,montrose
2006-07-05,30.0,21.0,montrose
2006-07-06,37.0,26.0,montrose
2006-07-07,31.0,25.0,montrose
2006-07-08,21.0,18.0,montrose
2006-07-09,37.0,29.0,montrose
2006-07-10,38.0,31.0,montrose
2006-07-11,36.0,32.0,montrose
2006-07-12,26.0,20.0,montrose
2006-07-13,17.0,15.0,montrose
2006-07-14,20.0,16.0,montrose
2006-07-15,33.0,28.0,montrose
2006-07-16,43.0,35.0,montrose
2006-07-17,45.0,35.0,montrose
2006-07-18,30.0,24.0,montrose
2006-07-19,37.0,30.0,montrose
2006-07-20,36.0,26.0,montrose
2006-07-21,40.0,33.0,montrose
2006-07-22,20.0,14.0,montrose
2006-07-23,25.0,21.0,montrose
2006-07-24,32.0,25.0,montrose
2006-07-25,39.0,33.0,montrose
2006-07-26,39.0,31.0,montrose
2006-07-27,23.0,18.0,montrose
2006-07-28,21.0,16.0,montrose
2006-07-29,39.0,31.0,montrose
2006-07-30,40.0,33.0,montrose
2006-08-01,48.0,33.0,montrose
2006-08-02,17.0,13.0,montrose
2006-08-03,25.0,20.0,montrose
2006-08-04,16.0,14.0,montrose
2006-08-05,25.0,20.0,montrose
2006-08-06,23.0,17.0,montrose
2006-08-07,33.0,28.0,montrose
2006-08-08,20.0,16.0,montrose
2006-08-09,35.0,26.0,montrose
2006-08-10,32.0,24.0,montrose
2006-08-11,28.0,22.0,montrose
2006-08-12,24.0,21.0,montrose
2006-08-13,29.0,22.0,montrose
2006-08-14,20.0,15.0,montrose
2006-08-15,41.0,35.0,montrose
2006-08-16,20.0,16.0,montrose
2006-08-17,33.0,28.0,montrose
2006-08-18,25.0,20.0,montrose
2006-08-19,33.0,22.0,montrose
2006-08-20,21.0,18.0,montrose
2006-08-21,20.0,14.0,montrose
2006-08-22,28.0,22.0,montrose
2006-08-23,18.0,16.0,montrose
2006-08-24,35.0,25.0,montrose
2006-08-25,17.0,14.0,montrose
2006-08-26,35.0,28.0,montrose
2006-08-27,13.0,10.0,montrose
2006-08-28,25.0,15.0,montrose
2006-08-29,18.0,15.0,montrose
2006-08-30,26.0,21.0,montrose
2006-09-01,16.0,14.0,montrose
2006-09-02,22.0,18.0,montrose
2006-09-03,18.0,14.0,montrose
2006-09-04,18.0,15.0,montrose
2006-09-05,25.0,21.0,montrose
2006-09-06,28.0,20.0,montrose
2006-09-07,29.0,23.0,montrose
2006-09-08,16.0,13.0,montrose
2006-09-09,25.0,18.0,montrose
2006-09-10,17.0,14.0,montrose
2006-09-11,25.0,13.0,montrose
2006-09-12,16.0,14.0,montrose
2006-09-13,20.0,16.0,montrose
2006-09-14,31.0,24.0,montrose
2006-09-15,41.0,31.0,montrose
2006-09-16,39.0,31.0,montrose
2006-09-17,25.0,20.0,montrose
2006-09-18,18.0,14.0,montrose
2006-09-19,17.0,13.0,montrose
2006-09-20,43.0,32.0,montrose
2006-09-21,29.0,20.0,montrose
2006-09-22,22.0,17.0,montrose
2006-09-23,22.0,16.0,montrose
2006-09-24,15.0,13.0,montrose
2006-09-25,31.0,29.0,montrose
2006-09-26,16.0,13.0,montrose
2006-09-27,15.0,13.0,montrose
2006-09-28,26.0,14.0,montrose
2006-09-29,32.0,24.0,montrose
2006-10-01,16.0,13.0,montrose
2006-10-02,17.0,16.0,montrose
2006-10-03,23.0,17.0,montrose
2006-10-04,18.0,14.0,montrose
2006-10-05,18.0,13.0,montrose
2006-10-06,21.0,16.0,montrose
2006-10-07,44.0,36.0,montrose
2006-10-08,26.0,18.0,montrose
2006-10-09,29.0,23.0,montrose
2006-10-10,23.0,18.0,montrose
2006-10-11,14.0,10.0,montrose
2006-10-12,10.0,9.0,montrose
2006-10-13,15.0,13.0,montrose
2006-10-14,29.0,17.0,montrose
2006-10-15,26.0,25.0,montrose
2006-10-16,32.0,24.0,montrose
2006-10-17,45.0,36.0,montrose
2006-10-18,30.0,22.0,montrose
2006-10-19,22.0,13.0,montrose
2006-10-20,26.0,20.0,montrose
2006-10-21,13.0,10.0,montrose
2006-10-22,15.0,14.0,montrose
2006-10-23,16.0,14.0,montrose
2006-10-24,12.0,12.0,montrose
2006-10-25,51.0,38.0,montrose
2006-10-26,18.0,15.0,montrose
2006-10-27,15.0,14.0,montrose
2006-10-28,10.0,9.0,montrose
2006-10-29,31.0,30.0,montrose
2006-10-30,32.0,18.0,montrose
2006-11-01,17.0,15.0,montrose
2006-11-02,20.0,13.0,montrose
2006-11-03,14.0,12.0,montrose
2006-11-04,17.0,14.0,montrose
2006-11-05,12.0,9.0,montrose
2006-11-06,12.0,10.0,montrose
2006-11-07,14.0,13.0,montrose
2006-11-08,25.0,13.0,montrose
2006-11-09,39.0,30.0,montrose
2006-11-10,28.0,26.0,montrose
2006-11-11,30.0,24.0,montrose
2006-11-12,28.0,22.0,montrose
2006-11-13,17.0,14.0,montrose
2006-11-14,46.0,32.0,montrose
2006-11-15,,25.0,montrose
2006-11-16,,20.0,montrose
2006-11-17,9.0,8.0,montrose
2006-11-18,25.0,13.0,montrose
2006-11-19,12.0,10.0,montrose
2006-11-20,17.0,13.0,montrose
2006-11-21,26.0,16.0,montrose
2006-11-22,23.0,15.0,montrose
2006-11-23,26.0,18.0,montrose
2006-11-24,26.0,22.0,montrose
2006-11-25,20.0,15.0,montrose
2006-11-26,16.0,12.0,montrose
2006-11-27,33.0,26.0,montrose
2006-11-28,31.0,22.0,montrose
2006-11-29,24.0,18.0,montrose
2006-12-01,20.0,18.0,montrose
2006-12-02,28.0,26.0,montrose
2006-12-03,32.0,29.0,montrose
2006-12-04,10.0,10.0,montrose
2006-12-05,10.0,9.0,montrose
2006-12-06,12.0,10.0,montrose
2006-12-07,10.0,9.0,montrose
2006-12-08,10.0,10.0,montrose
2006-12-09,28.0,26.0,montrose
2006-12-10,30.0,22.0,montrose
2006-12-11,9.0,8.0,montrose
2006-12-12,28.0,26.0,montrose
2006-12-13,10.0,10.0,montrose
2006-12-14,13.0,10.0,montrose
2006-12-15,26.0,17.0,montrose
2006-12-16,22.0,15.0,montrose
2006-12-17,38.0,29.0,montrose
2006-12-18,,7.0,montrose
2006-12-19,30.0,29.0,montrose
2006-12-20,21.0,18.0,montrose
2006-12-21,,,montrose
2006-12-22,29.0,26.0,montrose
2006-12-23,13.0,12.0,montrose
2006-12-24,15.0,13.0,montrose
2006-12-25,15.0,10.0,montrose
2006-12-26,,17.0,montrose
2006-12-27,32.0,24.0,montrose
2006-12-28,16.0,13.0,montrose
2006-12-29,20.0,14.0,montrose
2006-12-30,10.0,9.0,montrose
2007-01-01,14.0,12.0,montrose
2007-01-02,28.0,12.0,montrose
2007-01-03,13.0,10.0,montrose
2007-01-04,33.0,23.0,montrose
2007-01-05,22.0,18.0,montrose
2007-01-06,33.0,14.0,montrose
2007-01-07,13.0,13.0,montrose
2007-01-09,23.0,10.0,montrose
2007-01-10,39.0,28.0,montrose
2007-01-11,37.0,30.0,montrose
2007-01-12,43.0,31.0,montrose
2007-01-13,35.0,23.0,montrose
2007-01-14,26.0,25.0,montrose
2007-01-15,13.0,12.0,montrose
2007-01-16,12.0,10.0,montrose
2007-01-17,10.0,10.0,montrose
2007-01-18,12.0,12.0,montrose
2007-01-19,12.0,10.0,montrose
2007-01-20,10.0,9.0,montrose
2007-01-21,41.0,26.0,montrose
2007-01-22,14.0,13.0,montrose
2007-01-23,13.0,13.0,montrose
2007-01-24,28.0,13.0,montrose
2007-01-25,24.0,12.0,montrose
2007-01-26,13.0,12.0,montrose
2007-01-27,,17.0,montrose
2007-01-28,12.0,10.0,montrose
2007-01-29,13.0,12.0,montrose
2007-01-30,14.0,12.0,montrose
2007-02-01,21.0,17.0,montrose
2007-02-02,,28.0,montrose
2007-02-03,10.0,9.0,montrose
2007-02-04,24.0,14.0,montrose
2007-02-05,16.0,15.0,montrose
2007-02-06,26.0,13.0,montrose
2007-02-07,25.0,21.0,montrose
2007-02-08,22.0,14.0,montrose
2007-02-09,12.0,10.0,montrose
2007-02-10,16.0,14.0,montrose
2007-02-11,21.0,18.0,montrose
2007-02-12,17.0,14.0,montrose
2007-02-13,13.0,12.0,montrose
2007-02-14,31.0,24.0,montrose
2007-02-15,17.0,12.0,montrose
2007-02-16,33.0,23.0,montrose
2007-02-17,16.0,14.0,montrose
2007-02-18,31.0,22.0,montrose
2007-02-19,32.0,25.0,montrose
2007-02-20,14.0,9.0,montrose
