datetime,Daily_peak_wind,SustainedWindSpeed,airport
2006-06-23,24.0,18.0,aspen
2006-06-24,26.0,17.0,aspen
2006-06-25,25.0,20.0,aspen
2006-06-26,23.0,21.0,aspen
2006-06-27,28.0,20.0,aspen
2006-06-28,29.0,23.0,aspen
2006-06-29,31.0,22.0,aspen
2006-07-01,37.0,29.0,aspen
2006-07-02,26.0,23.0,aspen
2006-07-03,22.0,18.0,aspen
2006-07-04,29.0,21.0,aspen
2006-07-05,30.0,22.0,aspen
2006-07-06,20.0,15.0,aspen
2006-07-07,22.0,17.0,aspen
2006-07-08,13.0,10.0,aspen
2006-07-09,22.0,16.0,aspen
2006-07-10,25.0,22.0,aspen
2006-07-11,26.0,23.0,aspen
2006-07-12,20.0,17.0,aspen
2006-07-13,23.0,17.0,aspen
2006-07-14,20.0,14.0,aspen
2006-07-15,21.0,16.0,aspen
2006-07-16,30.0,22.0,aspen
2006-07-17,37.0,26.0,aspen
2006-07-18,24.0,20.0,aspen
2006-07-19,29.0,24.0,aspen
2006-07-20,33.0,26.0,aspen
2006-07-21,24.0,16.0,aspen
2006-07-22,20.0,16.0,aspen
2006-07-23,28.0,23.0,aspen
2006-07-24,23.0,18.0,aspen
2006-07-25,28.0,23.0,aspen
2006-07-26,25.0,20.0,aspen
2006-07-27,26.0,20.0,aspen
2006-07-28,21.0,16.0,aspen
2006-07-29,29.0,24.0,aspen
2006-07-30,36.0,29.0,aspen
2006-08-01,23.0,17.0,aspen
2006-08-02,20.0,16.0,aspen
2006-08-03,31.0,24.0,aspen
2006-08-04,26.0,23.0,aspen
2006-08-05,30.0,26.0,aspen
2006-08-06,22.0,18.0,aspen
2006-08-07,37.0,28.0,aspen
2006-08-08,18.0,14.0,aspen
2006-08-09,30.0,23.0,aspen
2006-08-10,26.0,23.0,aspen
2006-08-11,20.0,18.0,aspen
2006-08-12,14.0,13.0,aspen
2006-08-13,35.0,21.0,aspen
2006-08-14,26.0,18.0,aspen
2006-08-15,32.0,26.0,aspen
2006-08-16,20.0,14.0,aspen
2006-08-17,25.0,18.0,aspen
2006-08-18,24.0,20.0,aspen
2006-08-19,25.0,17.0,aspen
2006-08-20,29.0,18.0,aspen
2006-08-21,25.0,21.0,aspen
2006-08-22,26.0,22.0,aspen
2006-08-23,28.0,23.0,aspen
2006-08-24,32.0,21.0,aspen
2006-08-25,24.0,21.0,aspen
2006-08-26,32.0,24.0,aspen
2006-08-27,23.0,17.0,aspen
2006-08-28,16.0,14.0,aspen
2006-08-29,24.0,16.0,aspen
2006-08-30,17.0,13.0,aspen
2006-09-01,24.0,17.0,aspen
2006-09-02,28.0,20.0,aspen
2006-09-03,22.0,15.0,aspen
2006-09-04,23.0,20.0,aspen
2006-09-05,28.0,17.0,aspen
2006-09-06,32.0,23.0,aspen
2006-09-07,29.0,24.0,aspen
2006-09-08,15.0,12.0,aspen
2006-09-09,26.0,18.0,aspen
2006-09-10,24.0,21.0,aspen
2006-09-11,23.0,17.0,aspen
2006-09-12,20.0,14.0,aspen
2006-09-13,21.0,15.0,aspen
2006-09-14,20.0,15.0,aspen
2006-09-15,28.0,24.0,aspen
2006-09-16,33.0,23.0,aspen
2006-09-17,24.0,17.0,aspen
2006-09-18,18.0,13.0,aspen
2006-09-19,20.0,17.0,aspen
2006-09-20,24.0,21.0,aspen
2006-09-21,16.0,13.0,aspen
2006-09-22,22.0,14.0,aspen
2006-09-23,12.0,9.0,aspen
2006-09-24,17.0,14.0,aspen
2006-09-25,18.0,14.0,aspen
2006-09-26,26.0,20.0,aspen
2006-09-27,24.0,17.0,aspen
2006-09-28,22.0,16.0,aspen
2006-09-29,20.0,16.0,aspen
2006-10-01,30.0,20.0,aspen
2006-10-02,22.0,17.0,aspen
2006-10-03,17.0,13.0,aspen
2006-10-04,22.0,17.0,aspen
2006-10-05,21.0,17.0,aspen
2006-10-06,26.0,21.0,aspen
2006-10-07,20.0,16.0,aspen
2006-10-08,22.0,18.0,aspen
2006-10-09,28.0,22.0,aspen
2006-10-10,23.0,20.0,aspen
2006-10-11,20.0,15.0,aspen
2006-10-12,23.0,17.0,aspen
2006-10-13,20.0,14.0,aspen
2006-10-14,17.0,16.0,aspen
